# wavelength F_lambda
7.191615499999999884e+03 1.776842161478237183e-16
7.197453499999999622e+03 2.019970360023876748e-16
7.203291500000000269e+03 1.719771488350681534e-16
7.209129500000000007e+03 1.800384442579074499e-16
7.214967499999999745e+03 1.852307282414609124e-16
7.220805500000000393e+03 2.328363977846804362e-16
7.226643500000000131e+03 1.697986701171111946e-16
7.232481499999999869e+03 2.000259184067132374e-16
7.238319499999999607e+03 2.018652218139371734e-16
7.244157500000000255e+03 1.785707814233158647e-16
7.249995499999999993e+03 1.553466812507755794e-16
7.255833499999999731e+03 1.321931276524659706e-16
7.261671500000000378e+03 1.789923890806957565e-16
7.267509500000000116e+03 1.772220788025444657e-16
7.273347499999999854e+03 1.584082762863328715e-16
7.279185499999999593e+03 1.688940747930028739e-16
7.285023500000000240e+03 1.927939671585992658e-16
